Freq.;V(out);K
;;
1.00000000000000e+007;(-1.87975682642712e+001dB,4.57607425453790e+000°);0.1
1.00230523807790e+007;(-1.87074746209454e+001dB,4.52155724118247e+000°);0.1
1.00461579027840e+007;(-1.86168906418582e+001dB,4.46689683618593e+000°);0.1
1.00693166885180e+007;(-1.85258085236288e+001dB,4.41208915819113e+000°);0.1
1.00925288607668e+007;(-1.84342202821513e+001dB,4.35713021169417e+000°);0.1
1.01157945425990e+007;(-1.83421177469503e+001dB,4.30201588258831e+000°);0.1
1.01391138573668e+007;(-1.82494925553135e+001dB,4.24674193349633e+000°);0.1
1.01624869287070e+007;(-1.81563361461926e+001dB,4.19130399887956e+000°);0.1
1.01859138805412e+007;(-1.80626397538602e+001dB,4.13569757991099e+000°);0.1
1.02093948370768e+007;(-1.79683944013104e+001dB,4.07991803909904e+000°);0.1
1.02329299228075e+007;(-1.78735908933927e+001dB,4.02396059464784e+000°);0.1
1.02565192625141e+007;(-1.77782198096639e+001dB,3.96782031453866e+000°);0.1
1.02801629812647e+007;(-1.76822714969451e+001dB,3.91149211031644e+000°);0.1
1.03038612044162e+007;(-1.75857360615691e+001dB,3.85497073056397e+000°);0.1
1.03276140576140e+007;(-1.74886033613022e+001dB,3.79825075404542e+000°);0.1
1.03514216667934e+007;(-1.73908629969246e+001dB,3.74132658249937e+000°);0.1
1.03752841581801e+007;(-1.72925043034505e+001dB,3.68419243306029e+000°);0.1
1.03992016582906e+007;(-1.71935163409713e+001dB,3.62684233028593e+000°);0.1
1.04231742939330e+007;(-1.70938878851004e+001dB,3.56927009776654e+000°);0.1
1.04472021922080e+007;(-1.69936074169999e+001dB,3.51146934929009e+000°);0.1
1.04712854805090e+007;(-1.68926631129664e+001dB,3.45343347953578e+000°);0.1
1.04954242865232e+007;(-1.67910428335526e+001dB,3.39515565426625e+000°);0.1
1.05196187382322e+007;(-1.66887341122000e+001dB,3.33662879998665e+000°);0.1
1.05438689639126e+007;(-1.65857241433549e+001dB,3.27784559303659e+000°);0.1
1.05681750921366e+007;(-1.64819997700408e+001dB,3.21879844807814e+000°);0.1
1.05925372517729e+007;(-1.63775474708563e+001dB,3.15947950594066e+000°);0.1
1.06169555719872e+007;(-1.62723533463662e+001dB,3.09988062078010e+000°);0.1
1.06414301822431e+007;(-1.61664031048520e+001dB,3.03999334650722e+000°);0.1
1.06659612123026e+007;(-1.60596820473851e+001dB,2.97980892243576e+000°);0.1
1.06905487922266e+007;(-1.59521750521834e+001dB,2.91931825809768e+000°);0.1
1.07151930523760e+007;(-1.58438665582111e+001dB,2.85851191716864e+000°);0.1
1.07398941234124e+007;(-1.57347405479742e+001dB,2.79738010044208e+000°);0.1
1.07646521362983e+007;(-1.56247805294684e+001dB,2.73591262778594e+000°);0.1
1.07894672222983e+007;(-1.55139695172244e+001dB,2.67409891900994e+000°);0.1
1.08143395129794e+007;(-1.54022900123995e+001dB,2.61192797356628e+000°);0.1
1.08392691402120e+007;(-1.52897239818546e+001dB,2.54938834899973e+000°);0.1
1.08642562361706e+007;(-1.51762528361565e+001dB,2.48646813805636e+000°);0.1
1.08893009333343e+007;(-1.50618574064364e+001dB,2.42315494435262e+000°);0.1
1.09144033644875e+007;(-1.49465179200340e+001dB,2.35943585649772e+000°);0.1
1.09395636627209e+007;(-1.48302139748496e+001dB,2.29529742055388e+000°);0.1
1.09647819614318e+007;(-1.47129245123209e+001dB,2.23072561070805e+000°);0.1
1.09900583943252e+007;(-1.45946277889353e+001dB,2.16570579801861e+000°);0.1
1.10153930954141e+007;(-1.44753013461821e+001dB,2.10022271708767e+000°);0.1
1.10407861990207e+007;(-1.43549219788400e+001dB,2.03426043049697e+000°);0.1
1.10662378397766e+007;(-1.42334657014888e+001dB,1.96780229082991e+000°);0.1
1.10917481526240e+007;(-1.41109077131249e+001dB,1.90083090008689e+000°);0.1
1.11173172728159e+007;(-1.39872223597501e+001dB,1.83332806628260e+000°);0.1
1.11429453359173e+007;(-1.38623830947924e+001dB,1.76527475699439e+000°);0.1
1.11686324778056e+007;(-1.37363624372088e+001dB,1.69665104960924e+000°);0.1
1.11943788346715e+007;(-1.36091319271019e+001dB,1.62743607799198e+000°);0.1
1.12201845430196e+007;(-1.34806620786745e+001dB,1.55760797527131e+000°);0.1
1.12460497396692e+007;(-1.33509223303272e+001dB,1.48714381240979e+000°);0.1
1.12719745617551e+007;(-1.32198809916888e+001dB,1.41601953219103e+000°);0.1
1.12979591467279e+007;(-1.30875051873501e+001dB,1.34420987822049e+000°);0.1
1.13240036323555e+007;(-1.29537607970540e+001dB,1.27168831849480e+000°);0.1
1.13501081567231e+007;(-1.28186123920689e+001dB,1.19842696304912e+000°);0.1
1.13762728582343e+007;(-1.26820231674518e+001dB,1.12439647514024e+000°);0.1
1.14024978756117e+007;(-1.25439548698769e+001dB,1.04956597536601e+000°);0.1
1.14287833478977e+007;(-1.24043677206798e+001dB,9.73902938057372e-001°);0.1
1.14551294144553e+007;(-1.22632203337293e+001dB,8.97373079206508e-001°);0.1
1.14815362149688e+007;(-1.21204696277077e+001dB,8.19940235114308e-001°);0.1
1.15080038894443e+007;(-1.19760707323354e+001dB,7.41566230848123e-001°);0.1
1.15345325782109e+007;(-1.18299768880324e+001dB,6.62210737498236e-001°);0.1
1.15611224219210e+007;(-1.16821393384597e+001dB,5.81831117104817e-001°);0.1
1.15877735615512e+007;(-1.15325072153262e+001dB,5.00382253995767e-001°);0.1
1.16144861384034e+007;(-1.13810274147848e+001dB,4.17816371126336e-001°);0.1
1.16412602941049e+007;(-1.12276444646716e+001dB,3.34082829842325e-001°);0.1
1.16680961706096e+007;(-1.10723003817646e+001dB,2.49127911295977e-001°);0.1
1.16949939101987e+007;(-1.09149345181480e+001dB,1.62894577524403e-001°);0.1
1.17219536554813e+007;(-1.07554833956741e+001dB,7.53222099498810e-002°);0.1
1.17489755493953e+007;(-1.05938805274000e+001dB,-1.36536772251351e-002°);0.1
1.17760597352080e+007;(-1.04300562247524e+001dB,-1.04101751583274e-001°);0.1
1.18032063565173e+007;(-1.02639373890360e+001dB,-1.96095208250166e-001°);0.1
1.18304155572516e+007;(-1.00954472857361e+001dB,-2.89712150510831e-001°);0.1
1.18576874816716e+007;(-9.92450529989071e+000dB,-3.85036009450832e-001°);0.1
1.18850222743701e+007;(-9.75102667059853e+000dB,-4.82156007366767e-001°);0.1
1.19124200802737e+007;(-9.57492220249894e+000dB,-5.81167670360962e-001°);0.1
1.19398810446427e+007;(-9.39609795179153e+000dB,-6.82173396313863e-001°);0.1
1.19674053130724e+007;(-9.21445488406128e+000dB,-7.85283085333986e-001°);0.1
1.19949930314937e+007;(-9.02988850082659e+000dB,-8.90614840844053e-001°);0.1
1.20226443461741e+007;(-8.84228843132887e+000dB,-9.98295750700986e-001°);0.1
1.20503594037179e+007;(-8.65153798562353e+000dB,-1.10846275920243e+000°);0.1
1.20781383510678e+007;(-8.45751366450362e+000dB,-1.22126364254521e+000°);0.1
1.21059813355048e+007;(-8.26008462117623e+000dB,-1.33685810232354e+000°);0.1
1.21338885046497e+007;(-8.05911206890317e+000dB,-1.45541899405129e+000°);0.1
1.21618600064636e+007;(-7.85444862799615e+000dB,-1.57713371053924e+000°);0.1
1.21898959892486e+007;(-7.64593760459704e+000dB,-1.70220574335342e+000°);0.1
1.22179966016487e+007;(-7.43341219255614e+000dB,-1.83085644964249e+000°);0.1
1.22461619926504e+007;(-7.21669458840878e+000dB,-1.96332705649920e+000°);0.1
1.22743923115840e+007;(-6.99559500791070e+000dB,-2.09988094090040e+000°);0.1
1.23026877081238e+007;(-6.76991059077552e+000dB,-2.24080623038296e+000°);0.1
1.23310483322890e+007;(-6.53942417811000e+000dB,-2.38641877825604e+000°);0.1
1.23594743344450e+007;(-6.30390294449250e+000dB,-2.53706557769552e+000°);0.1
1.23879658653036e+007;(-6.06309686360564e+000dB,-2.69312869198914e+000°);0.1
1.24165230759240e+007;(-5.81673698270436e+000dB,-2.85502979411458e+000°);0.1
1.24451461177138e+007;(-5.56453347684977e+000dB,-3.02323542851751e+000°);0.1
1.24738351424294e+007;(-5.30617344859629e+000dB,-3.19826313243803e+000°);0.1
1.25025903021771e+007;(-5.04131843248200e+000dB,-3.38068858473638e+000°);0.1
1.25314117494141e+007;(-4.76960155597670e+000dB,-3.57115398863951e+000°);0.1
1.25602996369487e+007;(-4.49062429915651e+000dB,-3.77037794347429e+000°);0.1
1.25892541179416e+007;(-4.20395278388010e+000dB,-3.97916712234162e+000°);0.1
1.26182753459066e+007;(-3.90911350909427e+000dB,-4.19843015193214e+000°);0.1
1.26473634747114e+007;(-3.60558843140745e+000dB,-4.42919419285530e+000°);0.1
1.26765186585784e+007;(-3.29280926834016e+000dB,-4.67262485152045e+000°);0.1
1.27057410520853e+007;(-2.97015087452731e+000dB,-4.93005022820060e+000°);0.1
1.27350308101665e+007;(-2.63692350709806e+000dB,-5.20299013485892e+000°);0.1
1.27643880881134e+007;(-2.29236375350487e+000dB,-5.49319182087132e+000°);0.1
1.27938130415752e+007;(-1.93562384062224e+000dB,-5.80267395354790e+000°);0.1
1.28233058265601e+007;(-1.56575897454655e+000dB,-6.13378115426939e+000°);0.1
1.28528665994361e+007;(-1.18171227170527e+000dB,-6.48925214932020e+000°);0.1
1.28824955169313e+007;(-7.82296727666136e-001dB,-6.87230564374131e+000°);0.1
1.29121927361353e+007;(-3.66173522660542e-001dB,-7.28674949524376e+000°);0.1
1.29419584144998e+007;(6.81742278047228e-002dB,-7.73712084646418e+000°);0.1
1.29717927098395e+007;(5.22473415583497e-001dB,-8.22886786192904e+000°);0.1
1.30016957803328e+007;(9.98700032528102e-001dB,-8.76858806660005e+000°);0.1
1.30316677845229e+007;(1.49912727759060e+000dB,-9.36434471216377e+000°);0.1
1.30617088813183e+007;(2.02638505586776e+000dB,-1.00260922513054e+001°);0.1
1.30918192299940e+007;(2.58353387009701e+000dB,-1.07662567441116e+001°);0.1
1.31219989901919e+007;(3.17415680664810e+000dB,-1.16005399462743e+001°);0.1
1.31522483219223e+007;(3.80247397007362e+000dB,-1.25490521553035e+001°);0.1
1.31825673855640e+007;(4.47348395339701e+000dB,-1.36379375890101e+001°);0.1
1.32129563418657e+007;(5.19313578655515e+000dB,-1.49017528065790e+001°);0.1
1.32434153519466e+007;(5.96852988587169e+000dB,-1.63870211362367e+001°);0.1
1.32739445772973e+007;(6.80813189272480e+000dB,-1.81576632285939e+001°);0.1
1.33045441797808e+007;(7.72194411532799e+000dB,-2.03034805652199e+001°);0.1
1.33352143216331e+007;(8.72147805309436e+000dB,-2.29536804598691e+001°);0.1
1.33659551654643e+007;(9.81911196819024e+000dB,-2.62987360889304e+001°);0.1
1.33967668742593e+007;(1.10257534902637e+001dB,-3.06255626279884e+001°);0.1
1.34276496113785e+007;(1.23440622162794e+001dB,-3.63711254838864e+001°);0.1
1.34586035405594e+007;(1.37506889522263e+001dB,-4.41876856315886e+001°);0.1
1.34896288259164e+007;(1.51552189003980e+001dB,-5.49477675993677e+001°);0.1
1.35207256319427e+007;(1.63320812199044e+001dB,-6.94089453701020e+001°);0.1
1.35518941235103e+007;(1.69108266940321e+001dB,-8.71002550907589e+001°);0.1
1.35831344658714e+007;(1.66283029014613e+001dB,-1.05326289206494e+002°);0.1
1.36144468246594e+007;(1.56367812785187e+001dB,-1.20919349529661e+002°);0.1
1.36458313658891e+007;(1.43151462375930e+001dB,-1.32753289440027e+002°);0.1
1.36772882559584e+007;(1.29402660456127e+001dB,-1.41367355060798e+002°);0.1
1.37088176616484e+007;(1.16360280650145e+001dB,-1.47663427286959e+002°);0.1
1.37404197501250e+007;(1.04404018180130e+001dB,-1.52367679390041e+002°);0.1
1.37720946889394e+007;(9.35598390910729e+000dB,-1.55976013731839e+002°);0.1
1.38038426460287e+007;(8.37333185044162e+000dB,-1.58814459240169e+002°);0.1
1.38356637897177e+007;(7.48013985046652e+000dB,-1.61098364588467e+002°);0.1
1.38675582887188e+007;(6.66451681562851e+000dB,-1.62972779544323e+002°);0.1
1.38995263121334e+007;(5.91598145577358e+000dB,-1.64537769246497e+002°);0.1
1.39315680294529e+007;(5.22561372772909e+000dB,-1.65864054045364e+002°);0.1
1.39636836105593e+007;(4.58591988331694e+000dB,-1.67002768533325e+002°);0.1
1.39958732257261e+007;(3.99062276040295e+000dB,-1.67991667886861e+002°);0.1
1.40281370456195e+007;(3.43445408227817e+000dB,-1.68859162458044e+002°);0.1
1.40604752412990e+007;(2.91297311826428e+000dB,-1.69626999614207e+002°);0.1
1.40928879842186e+007;(2.42241617613758e+000dB,-1.70312084998705e+002°);0.1
1.41253754462274e+007;(1.95957440721533e+000dB,-1.70927744507501e+002°);0.1
1.41579377995707e+007;(1.52169546898650e+000dB,-1.71484615212117e+002°);0.1
1.41905752168908e+007;(1.10640454797064e+000dB,-1.71991285257250e+002°);0.1
1.42232878712281e+007;(7.11640826614779e-001dB,-1.72454760806447e+002°);0.1
1.42560759360218e+007;(3.35606185197386e-001dB,-1.72880811787500e+002°);0.1
1.42889395851109e+007;(-2.32764172356786e-002dB,-1.73274231356607e+002°);0.1
1.43218789927353e+007;(-3.66396891875238e-001dB,-1.73639033037680e+002°);0.1
1.43548943335364e+007;(-6.94985869735394e-001dB,-1.73978602229142e+002°);0.1
1.43879857825583e+007;(-1.01013767875288e+000dB,-1.74295813878513e+002°);0.1
1.44211535152486e+007;(-1.31282940855139e+000dB,-1.74593124779881e+002°);0.1
1.44543977074592e+007;(-1.60393681680363e+000dB,-1.74872646629143e+002°);0.1
1.44877185354475e+007;(-1.88424767175408e+000dB,-1.75136204340820e+002°);0.1
